bar,beat,onset
1,1,2.1142857142857143
2,1,3.795011337868481
3,1,5.482086167800453
4,1,7.177868480725624
5,1,8.892086167800453
6,1,10.589024943310658
7,1,12.273469387755101
8,1,13.962380952380952
9,1,15.631587301587302
10,1,17.33825396825397
11,1,19.024104308390022
12,1,20.738390022675738
13,1,22.41551020408163
14,1,24.09421768707483
15,1,25.77122448979592
16,1,27.450521541950113
17,1,29.13639455782313
18,1,30.813628117913833
19,1,32.52015873015873
20,1,34.179092970521545
21,1,35.82825396825397
22,1,37.48925170068027
23,1,39.166598639455785
24,1,40.81544217687075
25,1,42.49467120181406
26,1,44.19337868480726
27,1,45.92326530612245
28,1,47.60154195011338
29,1,49.28829931972789
30,1,50.957845804988665
31,1,52.65249433106576
32,1,54.313537414965985
33,1,55.97551020408163
34,1,57.639591836734695
35,1,59.345895691609975
36,1,61.07954648526077
37,1,62.80226757369614
38,1,64.51786848072562
39,1,66.2048299319728
40,1,67.8918820861678
41,1,69.56036281179138
42,1,71.25519274376417
43,1,72.951768707483
44,1,74.6856462585034
45,1,76.36281179138322
46,1,78.06927437641724
47,1,79.76571428571428
48,1,81.39743764172336
49,1,83.09387755102041
50,1,84.81591836734694
51,1,86.52251700680272
52,1,88.26367346938775
53,1,89.9673469387755
54,1,91.63673469387756
55,1,93.28863945578232
56,1,94.9795918367347
57,1,96.63467120181406
58,1,98.30328798185941
59,1,99.96201814058956
60,1,101.67678004535148
61,1,103.38337868480725
62,1,105.08780045351475
63,1,106.78437641723356
64,1,108.48895691609977
