bar,beat,onset
0,1,1.3968253968253967
1,1,3.057142857142857
2,1,4.769138321995465
3,1,6.516825396825396
4,1,8.204308390022677
5,1,9.951746031746032
6,1,11.729773242630385
7,1,13.452086167800454
8,1,15.155102040816326
9,1,16.86793650793651
10,1,18.61002267573696
11,1,20.32374149659864
12,1,22.090839002267575
13,1,23.828208616780046
14,1,25.536507936507938
15,1,27.284036281179137
16,1,29.03074829931973
17,1,30.7387074829932
18,1,32.486938775510204
19,1,34.2192970521542
20,1,35.97931972789116
21,1,37.69929705215419
22,1,39.44773242630386
23,1,41.19548752834467
24,1,42.927891156462586
25,1,44.640408163265306
26,1,46.42448979591837
27,1,48.22036281179138
28,1,49.96235827664399
29,1,51.71986394557823
30,1,53.468163265306124
31,1,55.24503401360544
32,1,56.957755102040814
33,1,58.690226757369615
34,1,60.43850340136054
35,1,62.17068027210885
36,1,63.84854875283447
37,1,65.60612244897959
38,1,67.36734693877551
39,1,69.08691609977325
40,1,70.82467120181406
41,1,72.53206349206349
42,1,74.26972789115646
43,1,76.05725623582767
44,1,77.77013605442177
45,1,79.4702947845805
46,1,81.29471655328798
47,1,82.99746031746032
48,1,84.70575963718821
49,1,86.45337868480726
50,1,88.15625850340136
51,1,89.8691156462585
52,1,91.60136054421768
53,1,93.31503401360544
54,1,95.04718820861677
55,1,96.76009070294785
56,1,98.49240362811791
57,1,100.18551020408164
58,1,102.00798185941044
59,1,103.76523809523809
60,1,105.47755102040816
61,1,107.2201133786848
62,1,108.91433106575964
63,1,110.65616780045352
64,1,112.34947845804989
65,1,114.08172335600906
